"","Player","POS","FL","FPTS","REC.RECEIVING","YDS.RECEIVING","TDS.RECEIVING","ATT.RUSHING","YDS.RUSHING","TDS.RUSHING","ATT.PASSING","CMP.PASSING","YDS.PASSING","TDS.PASSING","INTS.PASSING","Rank.ADP","Yahoo.ADP","ESPN.ADP","CBS.ADP","FFC.ADP","NFL.ADP","AVG.ADP"
"Damaris Johnson (PHI) WR","Damaris Johnson (PHI)","WR",1,11.4,9.4,111.3,0.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Damian Williams (MIA) WR","Damian Williams (MIA)","WR",0,30.8,18.9,247.8,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Damien Williams (MIA) RB","Damien Williams (MIA)","RB",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dan Bailey (DAL) K","Dan Bailey (DAL)","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,145,105,182,173,183,95,147.6
"Dan Carpenter (BUF) K","Dan Carpenter (BUF)","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,224,180,NA,235,NA,NA,207.5
"Dan Herron (IND) RB","Dan Herron (IND)","RB",0.8,17.5,1.5,12.5,0,38.5,147.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dan Orlovsky (DET) QB","Dan Orlovsky (DET)","QB",0,0,NA,NA,NA,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA
"Dane Sanzenbacher (CIN) WR","Dane Sanzenbacher (CIN)","WR",0,16,11,129.5,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daniel Fells (NYG) TE","Daniel Fells (NYG)","TE",0,4.8,4.5,47.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daniel Thomas (MIA) RB","Daniel Thomas (MIA)","RB",0.5,41.5,10.5,72.9,0,63.6,246.6,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Danny Amendola (NE) WR","Danny Amendola (NE)","WR",0.5,92.8,59.8,698.1,4,0,0,0,NA,NA,NA,NA,NA,142,179,112,145,121,170,145.4
"Danny Woodhead (SD) RB","Danny Woodhead (SD)","RB",1,122.3,65.1,563.6,4,84.3,349.6,1.5,NA,NA,NA,NA,NA,109,142,103,103,98,111,111.4
"Dante Rosario (CHI) TE","Dante Rosario (CHI)","TE",0,13.2,6.8,87.4,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darius Johnson (ATL) WR","Darius Johnson (ATL)","WR",0,21.1,12.8,165.8,0.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darrel Young (WAS) RB","Darrel Young (WAS)","RB",0,29.5,8.5,92,0.5,13.5,53,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darren Fells (ARI) TE","Darren Fells (ARI)","TE",0,4.1,3.8,40.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darren McFadden (OAK) RB","Darren McFadden (OAK)","RB",2,92.9,25.7,183.8,0.6,124.5,515.6,3.9,NA,NA,NA,NA,NA,128,146,128,137,115,126,130.4
"Darren Sproles (PHI) RB","Darren Sproles (PHI)","RB",0.5,103.2,65.9,541.8,2.8,58.8,253.9,1.3,NA,NA,NA,NA,NA,99,127,92,100,85,103,101.4
"Darrius Heyward-Bey (PIT) WR","Darrius Heyward-Bey (PIT)","WR",0.5,36.2,22,341.5,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daryl Richardson (NYJ) RB","Daryl Richardson (NYJ)","RB",0.5,12,7.5,62.7,0,15.8,67.4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Davante Adams (GB) WR","Davante Adams (GB)","WR",1,57.7,28.1,416.7,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"David Akers K","David Akers","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,216,168,NA,NA,NA,NA,168
"David Ausberry (OAK) TE","David Ausberry (OAK)","TE",0,22.7,13.9,166.8,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"David Johnson (SD) TE","David Johnson (SD)","TE",0,5,5.3,50.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"David Nelson (NYJ) WR","David Nelson (NYJ)","WR",0,40.8,27.7,330.1,1.3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"David Paulson (PIT) TE","David Paulson (PIT)","TE",0,11,10.4,110.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"De'Anthony Thomas (KC) RB","De'Anthony Thomas (KC)","RB",0,29.9,18.8,142.1,0.7,18.3,79.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DeAndre Hopkins (HOU) WR","DeAndre Hopkins (HOU)","WR",0.5,105.4,59,793.6,4.5,0,0,0,NA,NA,NA,NA,NA,125,143,107,144,122,124,128
"DeAngelo Williams (CAR) RB","DeAngelo Williams (CAR)","RB",1.5,121,24.8,211.1,1,179.7,753,3.6,NA,NA,NA,NA,NA,117,157,100,114,110,113,118.8
"Deji Karim RB","Deji Karim","RB",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Delanie Walker (TEN) TE","Delanie Walker (TEN)","TE",0.5,93.6,58,610.1,5.6,NA,NA,NA,NA,NA,NA,NA,NA,187,NA,171,165,NA,178,171.3
"DeMarco Murray (DAL) RB","DeMarco Murray (DAL)","RB",2,207.2,54.6,404.6,1,231,1131.6,8.6,NA,NA,NA,NA,NA,13,15,17,12,14,11,13.8
"Demaryius Thomas (DEN) WR","Demaryius Thomas (DEN)","WR",0.5,219.4,94.8,1441.6,12.7,0,0,0,NA,NA,NA,NA,NA,10,8,13,11,8,13,10.6
"Demetrius Harris (KC) TE","Demetrius Harris (KC)","TE",0,13.3,9.2,113.2,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Denard Robinson (JAC) RB","Denard Robinson (JAC)","RB",1.5,48.9,13.7,115.8,0.5,62.4,282.7,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Denarius Moore (OAK) WR","Denarius Moore (OAK)","WR",1.5,63.2,31.9,506,2.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dennis Johnson (HOU) RB","Dennis Johnson (HOU)","RB",0,16.7,8.3,57.8,0,26.3,108.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dennis Pitta (BAL) TE","Dennis Pitta (BAL)","TE",0,121.4,66.5,793.8,7,NA,NA,NA,NA,NA,NA,NA,NA,77,87,86,74,99,63,81.8
"Denver Broncos Defense DST","Denver Broncos Defense","DST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,100,98,90,108,124,88,101.6
"Deonte Thompson (BAL) WR","Deonte Thompson (BAL)","WR",0,8.6,9,86.3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Derek Anderson (CAR) QB","Derek Anderson (CAR)","QB",0,10.1,NA,NA,NA,1.4,4.1,0,19.8,12.5,136.5,1.4,0.6,NA,NA,NA,NA,NA,NA,NA
"Derek Carr (OAK) QB","Derek Carr (OAK)","QB",2,40.5,NA,NA,NA,8,21.7,0,126.8,77.7,848.8,4.5,4.8,NA,NA,NA,NA,NA,NA,NA
"Derek Moye (PIT) WR","Derek Moye (PIT)","WR",0,20.4,11.3,159,0.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Derrick Coleman (SEA) RB","Derrick Coleman (SEA)","RB",0,17.7,9.5,66,1,5.5,20.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DeSean Jackson (WAS) WR","DeSean Jackson (WAS)","WR",0.5,141,59.7,969.9,7.1,3.5,24,0,NA,NA,NA,NA,NA,51,45,45,63,55,54,52.4
"Detroit Lions Defense DST","Detroit Lions Defense","DST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,198,135,NA,239,NA,NA,187
"DeVier Posey (HOU) WR","DeVier Posey (HOU)","WR",0,29.7,20,243.4,0.9,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devin Hester (ATL) WR","Devin Hester (ATL)","WR",0,16,7,129.5,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devin Street (DAL) WR","Devin Street (DAL)","WR",0,46.3,23.5,342.5,2,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Devonta Freeman (ATL) RB","Devonta Freeman (ATL)","RB",1,101.8,34.3,277.5,1.1,105.2,508.4,3.1,NA,NA,NA,NA,NA,143,158,161,112,102,195,145.6
"Dexter McCluster (TEN) RB","Dexter McCluster (TEN)","RB",1.5,83.5,50.3,426.3,2,62.1,270.6,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dexter McCluster (TEN) WR","Dexter McCluster (TEN)","WR",0,83.3,53,476,2,43,177,1,NA,NA,NA,NA,NA,209,NA,181,174,NA,NA,177.5
"Dez Bryant (DAL) WR","Dez Bryant (DAL)","WR",1,200.9,96,1323,11.7,0.5,4,0,NA,NA,NA,NA,NA,11,10,16,14,11,12,12.6
"Dion Lewis (CLE) RB","Dion Lewis (CLE)","RB",0,13.5,2.3,18.3,0,20.6,94.1,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dion Sims (MIA) TE","Dion Sims (MIA)","TE",0,17.1,9.8,125.6,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Donald Brown (SD) RB","Donald Brown (SD)","RB",0,65.5,16.3,131.9,0.5,84.6,372.9,2,NA,NA,NA,NA,NA,213,NA,159,222,NA,NA,190.5
"Donnie Avery (KC) WR","Donnie Avery (KC)","WR",0,76.2,42.5,594.3,2.7,1.5,6,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Donte Moncrief (IND) WR","Donte Moncrief (IND)","WR",0,28.8,14.9,242.5,0.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Doug Baldwin (SEA) WR","Doug Baldwin (SEA)","WR",0.5,99.8,54.5,742.9,4.3,1,7,0,NA,NA,NA,NA,NA,178,181,173,166,NA,172,173
"Doug Martin (TB) RB","Doug Martin (TB)","RB",2,194.2,35.7,271.2,1.2,275.7,1188.9,7.5,NA,NA,NA,NA,NA,23,32,15,25,25,22,23.8
"Drew Brees (NO) QB","Drew Brees (NO)","QB",1.5,336,NA,NA,NA,27.5,50.9,0.5,640,427,5052.5,39.2,14,12,16,11,8,18,16,13.8
"Drew Davis (ATL) WR","Drew Davis (ATL)","WR",0,32.6,18.5,265.9,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Drew Stanton (ARI) QB","Drew Stanton (ARI)","QB",0,0.8,NA,NA,NA,0,0,0,2.5,1.5,21,0,0,NA,NA,NA,NA,NA,NA,NA
"Dri Archer (PIT) RB","Dri Archer (PIT)","RB",0.5,38.5,20,190.2,0.9,23.9,114.7,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DuJuan Harris (GB) RB","DuJuan Harris (GB)","RB",0,27.3,6,40.9,0,44.3,187.5,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dwayne Allen (IND) TE","Dwayne Allen (IND)","TE",0,85.4,46.5,559.7,4.9,NA,NA,NA,NA,NA,NA,NA,NA,223,NA,NA,184,NA,194,189
"Dwayne Bowe (KC) WR","Dwayne Bowe (KC)","WR",0.5,110.5,63.3,791.1,5.4,0,0,0,NA,NA,NA,NA,NA,115,124,125,117,107,117,118
"Dwayne Harris (DAL) WR","Dwayne Harris (DAL)","WR",0,10.7,7.9,84.8,0.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E.J. Manuel (BUF) QB","E.J. Manuel (BUF)","QB",3.5,197.4,NA,NA,NA,82.4,320.9,1.9,457.2,270.2,3016.9,17,13.9,232,NA,NA,188,NA,NA,188
"Earl Bennett (CLE) WR","Earl Bennett (CLE)","WR",0,38.2,24.8,291.8,1.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ed Dickson (CAR) TE","Ed Dickson (CAR)","TE",0,30.6,21.8,233.5,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eddie Lacy (GB) RB","Eddie Lacy (GB)","RB",1,218.1,38.4,271.8,1,277,1251,10.3,NA,NA,NA,NA,NA,6,5,8,7,6,6,6.4
"Eddie Royal (SD) WR","Eddie Royal (SD)","WR",0.5,56.3,39.5,470,1.6,1.5,6.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Edwin Baker (CLE) RB","Edwin Baker (CLE)","RB",0,10.2,3.4,23.1,0,14.9,64.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eli Manning (NYG) QB","Eli Manning (NYG)","QB",2,225.4,NA,NA,NA,21.8,25.8,0,539.1,335.2,3955.5,25.2,16.1,158,NA,130,154,168,160,153
"Emil Igwenagu (PHI) TE","Emil Igwenagu (PHI)","TE",0,2.5,3,24.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Emmanuel Sanders (DEN) WR","Emmanuel Sanders (DEN)","WR",0.5,141.7,70.9,997,7,0.5,9.5,0,NA,NA,NA,NA,NA,75,106,72,67,62,89,79.2
"Eric Decker (NYJ) WR","Eric Decker (NYJ)","WR",1,125.9,65.5,918.7,6,0,0,0,NA,NA,NA,NA,NA,91,93,87,96,94,92,92.4
"Eric Ebron (DET) TE","Eric Ebron (DET)","TE",0,81.8,41.3,536.3,4.7,NA,NA,NA,NA,NA,NA,NA,NA,149,183,157,140,146,145,154.2
"Eric Page (TB) WR","Eric Page (TB)","WR",0.8,3.6,3,51,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eric Weems (CHI) WR","Eric Weems (CHI)","WR",0,5.9,6,58.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Erik Lorig (NO) RB","Erik Lorig (NO)","RB",0,15.5,10.5,75.5,1,5,19.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Evan Royster (WAS) RB","Evan Royster (WAS)","RB",0,5.5,2.3,16.5,0,9,38.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fendi Onobun (JAC) TE","Fendi Onobun (JAC)","TE",0,5.6,4.5,56.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fozzy Whittaker (CAR) RB","Fozzy Whittaker (CAR)","RB",0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Frank Gore (SF) RB","Frank Gore (SF)","RB",1,165.2,16.9,138.3,0,243.7,1071.5,7.7,NA,NA,NA,NA,NA,48,64,37,52,42,49,48.8
"Frank Summers (BUF) RB","Frank Summers (BUF)","RB",0,17.7,9,72.5,0.5,12,44.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Fred Jackson (BUF) RB","Fred Jackson (BUF)","RB",1.5,133.5,37.5,308.5,0.7,162.9,690.4,5.4,NA,NA,NA,NA,NA,98,126,98,88,93,101,101.2
"Garrett Celek (SF) TE","Garrett Celek (SF)","TE",0,5.9,5.3,58.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garrett Graham (HOU) TE","Garrett Graham (HOU)","TE",0,71.7,44.4,488.8,3.8,NA,NA,NA,NA,NA,NA,NA,NA,231,NA,NA,221,NA,187,204
"Gary Barnidge (CLE) TE","Gary Barnidge (CLE)","TE",0,14,11,104.2,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gavin Escobar (DAL) TE","Gavin Escobar (DAL)","TE",0,33,17.8,221.5,1.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Geno Smith (NYJ) QB","Geno Smith (NYJ)","QB",3,192.6,NA,NA,NA,50,250.6,2.8,435.6,260.2,2903.7,16.4,12.5,240,NA,NA,199,NA,NA,199
"Gerell Robinson (DEN) TE","Gerell Robinson (DEN)","TE",0,7.3,6,72.8,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Giovani Bernard (CIN) RB","Giovani Bernard (CIN)","RB",2.5,200.8,58.1,501.2,2.6,230.4,1076.9,5.4,NA,NA,NA,NA,NA,20,17,27,16,17,20,19.4
"Golden Tate (DET) WR","Golden Tate (DET)","WR",1,135.2,70.7,974.5,6.2,3,25,0,NA,NA,NA,NA,NA,83,96,82,71,79,110,87.6
"Graham Gano (CAR) K","Graham Gano (CAR)","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,254,NA,NA,242,NA,NA,242
"Green Bay Packers Defense DST","Green Bay Packers Defense","DST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,133,NA,162,NA,156,150.3
"Greg Jennings (MIN) WR","Greg Jennings (MIN)","WR",0.5,94.9,57.8,700.6,4.3,0,0,0,NA,NA,NA,NA,NA,156,185,124,178,150,167,160.8
"Greg Little (OAK) WR","Greg Little (OAK)","WR",0,49.8,28.6,400.1,1.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greg Olsen (CAR) TE","Greg Olsen (CAR)","TE",0.5,112.8,70.5,807.6,5.5,NA,NA,NA,NA,NA,NA,NA,NA,72,60,81,84,89,65,75.8
"Greg Salas (NYJ) WR","Greg Salas (NYJ)","WR",0,15.8,11.3,158.3,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greg Zuerlein (STL) K","Greg Zuerlein (STL)","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,228,195,NA,217,189,NA,200.3
"Griff Whalen (IND) WR","Griff Whalen (IND)","WR",0,26,17,200,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hakeem Nicks (IND) WR","Hakeem Nicks (IND)","WR",0,98.1,46.7,704.7,4.6,0,0,0,NA,NA,NA,NA,NA,132,145,127,130,113,149,132.8
"Harry Douglas (ATL) WR","Harry Douglas (ATL)","WR",0.5,97.5,63.9,786.8,3.3,0,0,0,NA,NA,NA,NA,NA,202,176,NA,167,NA,NA,171.5
"Heath Miller (PIT) TE","Heath Miller (PIT)","TE",1,96.2,61.6,682.2,5,NA,NA,NA,NA,NA,NA,NA,NA,153,NA,146,127,157,154,146
"Henry Hynoski (NYG) RB","Henry Hynoski (NYG)","RB",0,10.6,8.5,61.5,0,4,14.5,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Houston Texans Defense DST","Houston Texans Defense","DST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139,85,149,170,159,146,141.8
"Indianapolis Colts Defense DST","Indianapolis Colts Defense","DST",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219,NA,NA,NA,NA,175,175
"Isaiah Crowell (CLE) RB","Isaiah Crowell (CLE)","RB",0,33.7,9,59.9,0,53.4,239.1,0.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jace Amaro (NYJ) TE","Jace Amaro (NYJ)","TE",0,60.9,31.4,429.2,3,NA,NA,NA,NA,NA,NA,NA,NA,250,NA,NA,233,NA,NA,233
"Jack Doyle (IND) TE","Jack Doyle (IND)","TE",0,5,5,49.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jackie Battle (TEN) RB","Jackie Battle (TEN)","RB",0,26.2,2.5,19.5,0,45.5,182.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jacob Tamme (DEN) TE","Jacob Tamme (DEN)","TE",0,20.7,13.9,146.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jacoby Ford (NYJ) WR","Jacoby Ford (NYJ)","WR",0.8,14.4,10.5,159,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jacoby Jones (BAL) WR","Jacoby Jones (BAL)","WR",0,43.2,25.1,335.9,1.6,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jacquizz Rodgers (ATL) RB","Jacquizz Rodgers (ATL)","RB",1,57.7,32.7,235.1,1.3,63.7,254.1,0.5,NA,NA,NA,NA,NA,248,NA,NA,229,NA,NA,229
"Jake Ballard (ARI) TE","Jake Ballard (ARI)","TE",0,18.6,11.3,141,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jake Locker (TEN) QB","Jake Locker (TEN)","QB",2.5,204.3,NA,NA,NA,47.1,281.5,2.2,415.9,250.6,2959.5,17.9,11,234,NA,NA,189,NA,NA,189
"Jalen Parmele (ARI) RB","Jalen Parmele (ARI)","RB",0,7.2,5.3,40.5,0,6,31.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jalen Saunders (NYJ) WR","Jalen Saunders (NYJ)","WR",0,32.8,18.5,237.5,1.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jamaal Charles (KC) RB","Jamaal Charles (KC)","RB",2,263,67.3,599.1,4,252.2,1255.2,9.6,NA,NA,NA,NA,NA,3,2,3,1,3,3,2.4
"James Casey (PHI) TE","James Casey (PHI)","TE",0,10.4,7.4,86.4,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"James Develin (NE) RB","James Develin (NE)","RB",0,9.7,7.5,51,0,4.5,16,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"James Hanna (DAL) TE","James Hanna (DAL)","TE",0,16.7,13,137,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"James Jones (OAK) WR","James Jones (OAK)","WR",0,94.6,53.7,681.9,4.4,0,0,0,NA,NA,NA,NA,NA,170,187,170,186,177,143,172.6
"James Starks (GB) RB","James Starks (GB)","RB",1,68.3,12.4,99.4,0,98.5,435.9,2.8,NA,NA,NA,NA,NA,200,NA,166,202,170,NA,179.3
"James White (NE) RB","James White (NE)","RB",0,69,17.1,142.2,0.5,80.8,379.3,2.3,NA,NA,NA,NA,NA,208,NA,NA,209,154,NA,181.5
"Jared Cook (STL) TE","Jared Cook (STL)","TE",1,76,46.7,552.1,3.8,NA,NA,NA,NA,NA,NA,NA,NA,226,196,NA,206,NA,186,196
"Jarius Wright (MIN) WR","Jarius Wright (MIN)","WR",0,30.1,16.1,233.1,1.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jaron Brown (ARI) WR","Jaron Brown (ARI)","WR",0,22.7,13,196.5,0.5,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jarrett Boykin (GB) WR","Jarrett Boykin (GB)","WR",0.5,104.5,54.1,737.3,5.3,0,0,0,NA,NA,NA,NA,NA,164,190,168,153,133,NA,161
"Jarvis Landry (MIA) WR","Jarvis Landry (MIA)","WR",0.5,50.7,28.9,372.8,2.4,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jason Avant (CAR) WR","Jason Avant (CAR)","WR",0.5,50.3,32.8,387,2.1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jason Campbell (CIN) QB","Jason Campbell (CIN)","QB",0,6.7,NA,NA,NA,0.6,1.8,0,24.6,13.9,170.5,0.3,0.6,NA,NA,NA,NA,NA,NA,NA
"Jason Witten (DAL) TE","Jason Witten (DAL)","TE",0,124.1,76.7,850.9,6.5,NA,NA,NA,NA,NA,NA,NA,NA,55,61,55,59,70,55,60
"Jay Cutler (CHI) QB","Jay Cutler (CHI)","QB",3,272.4,NA,NA,NA,31.9,160.7,1.3,547.9,342.8,4067.6,30.1,14.3,96,97,102,76,90,116,96.2
"Jay Feely (ARI) K","Jay Feely (ARI)","K",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251,NA,NA,234,NA,NA,234
"Jay Prosch (HOU) RB","Jay Prosch (HOU)","RB",0,4.9,3,21,0,7,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jed Collins (DET) RB","Jed Collins (DET)","RB",0,19,10,56.5,0.5,7,43.5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeff Cumberland (NYJ) TE","Jeff Cumberland (NYJ)","TE",0,40.9,25.1,294.5,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeff Janis (GB) WR","Jeff Janis (GB)","WR",0,27.8,13.5,233.3,0.8,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeff Maehl (PHI) WR","Jeff Maehl (PHI)","WR",0,6.5,5.5,64.5,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeremy Hill (CIN) RB","Jeremy Hill (CIN)","RB",0.5,107.2,9.9,68.1,0.3,144.2,641.7,5.9,NA,NA,NA,NA,NA,140,154,147,148,116,153,143.6
"Jeremy Kerley (NYJ) WR","Jeremy Kerley (NYJ)","WR",1,73.5,44.9,577.6,2.8,2.5,9.5,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeremy Maclin (PHI) WR","Jeremy Maclin (PHI)","WR",0.5,133.1,69.4,956.9,6.4,0,0,0,NA,NA,NA,NA,NA,73,63,73,75,66,104,76.2
"Jeremy Ross (DET) WR","Jeremy Ross (DET)","WR",0,4.9,3.8,48.8,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jeremy Stewart (OAK) RB","Jeremy Stewart (OAK)","RB",0,8.9,5.3,38.3,0,11.3,50.3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jerick McKinnon (MIN) RB","Jerick McKinnon (MIN)","RB",0.5,48.6,22.6,177.7,0.8,45.7,204.4,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jermaine Gresham (CIN) TE","Jermaine Gresham (CIN)","TE",1.5,55.8,36.6,401.9,3.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
