"Team","Year","Lg","Rec","WinPct","PDpG","OffPass","OffRun","DefPass","DefRun","TotOff","TotDef","ST","Total","Link"
"DAL","2002","NFL","5-11-0",0.313,-7,-32.9,-9.7,2.9,-7.8,-22.6,-1.9,-1.3,-22,"http://www.pro-football-reference.com/teams/dal/2002.htm"
"DAL","2003","NFL","10-6-0",0.625,1.8,-16.4,-5.1,-9.3,-15.2,-10.9,-11.9,1.8,2.8,"http://www.pro-football-reference.com/teams/dal/2003.htm"
"DAL","2004","NFL","6-10-0",0.375,-7,-6.6,-0.3,18.2,0.5,-3.8,10.4,-0.8,-14.9,"http://www.pro-football-reference.com/teams/dal/2004.htm"
"DAL","2005","NFL","9-7-0",0.563,1.1,-6.2,-12.4,-7.9,-0.1,-9.2,-4.5,-1.4,-6.1,"http://www.pro-football-reference.com/teams/dal/2005.htm"
"DAL","2006","NFL","9-7-0",0.563,4.7,6.3,1.2,-1.1,-11.2,3.9,-5.5,-1.9,7.5,"http://www.pro-football-reference.com/teams/dal/2006.htm"
"DAL","2007","NFL","13-3-0",0.813,8.1,24,2,-5.3,-0.2,14.6,-3.3,-4.1,13.8,"http://www.pro-football-reference.com/teams/dal/2007.htm"
"DAL","2008","NFL","9-7-0",0.563,-0.2,-0.6,5.8,-5.5,-2.4,2,-4.2,-2.7,3.5,"http://www.pro-football-reference.com/teams/dal/2008.htm"
"DAL","2009","NFL","11-5-0",0.688,6.9,33.2,13.1,1.4,-4.9,24.6,-1,0.8,26.4,"http://www.pro-football-reference.com/teams/dal/2009.htm"
"DAL","2010","NFL","6-10-0",0.375,-2.6,5.4,-2.2,9.2,-3.9,2.2,3.8,1.7,0.1,"http://www.pro-football-reference.com/teams/dal/2010.htm"
"DAL","2011","NFL","8-8-0",0.5,1.4,21.3,-5.3,10.3,-3.8,10.6,4.8,-1.1,4.8,"http://www.pro-football-reference.com/teams/dal/2011.htm"
"DAL","2012","NFL","8-8-0",0.5,-1.5,9,-10.9,17.8,0.8,2.3,10.2,1,-6.9,"http://www.pro-football-reference.com/teams/dal/2012.htm"
"DAL","2013","NFL","8-8-0",0.5,0.4,8.6,7.2,15.7,13.6,8.1,14.9,4.3,-2.5,"http://www.pro-football-reference.com/teams/dal/2013.htm"
"DEN","1960","AFL","4-9-1",0.321,-6,-3.9,-10.6,8.1,7.1,-6.8,7.6,0,-14.3,"http://www.pro-football-reference.com/teams/den/1960.htm"
"DEN","1961","AFL","3-11-0",0.214,-12.9,-28.8,-15.8,4.1,-6.4,-24.2,-1,0.6,-22.6,"http://www.pro-football-reference.com/teams/den/1961.htm"
"DEN","1962","AFL","7-7-0",0.5,1.4,7.8,-2.3,8.2,-5.5,4.2,1.4,0.9,3.7,"http://www.pro-football-reference.com/teams/den/1962.htm"
"DEN","1963","AFL","2-11-1",0.179,-12.3,-16.3,-5.5,36.3,-3,-11.7,17,-0.3,-29.1,"http://www.pro-football-reference.com/teams/den/1963.htm"
"DEN","1964","AFL","2-11-1",0.179,-14.1,-41.3,-8.4,-10.3,13.8,-27.1,0.9,-6,-34,"http://www.pro-football-reference.com/teams/den/1964.htm"
"DEN","1965","AFL","4-10-0",0.286,-6.4,-5.9,12.4,13.2,8.1,2.7,10.9,1.4,-6.7,"http://www.pro-football-reference.com/teams/den/1965.htm"
"DEN","1966","AFL","4-10-0",0.286,-13.2,-44.8,-26.1,1.5,6.4,-36.2,4,9.3,-30.9,"http://www.pro-football-reference.com/teams/den/1966.htm"
"DEN","1967","AFL","3-11-0",0.214,-10.9,-31.8,-19.5,13.4,19,-25.7,16.1,-0.8,-42.7,"http://www.pro-football-reference.com/teams/den/1967.htm"
"DEN","1968","AFL","5-9-0",0.357,-10.6,-20.6,-3.3,22.1,6.5,-12.6,14.3,2.7,-24.3,"http://www.pro-football-reference.com/teams/den/1968.htm"
"DEN","1969","AFL","5-8-1",0.393,-3.4,3.7,8.4,15.9,2.4,5.9,9.5,0.2,-3.3,"http://www.pro-football-reference.com/teams/den/1969.htm"
"DEN","1970","NFL","5-8-1",0.393,-0.8,-32.9,3.5,-5.1,-16.5,-14.9,-10.7,1.9,-2.4,"http://www.pro-football-reference.com/teams/den/1970.htm"
"DEN","1971","NFL","4-9-1",0.321,-5.1,-14.9,-5.2,-29.3,-3.6,-9.3,-16,-1.8,4.9,"http://www.pro-football-reference.com/teams/den/1971.htm"
