"year","rd","result","team1","team2","score1","score2","pk1","pk2","et"
2002,"F","Nigeria  -  England  0-0    (June 12, Osaka Nagai Stadium) ","Nigeria","England",0,0,FALSE,FALSE,FALSE
2002,"G","Croatia  -  Mexico  0-1    (June 3, Niigata Stadium Big Swan) ","Croatia","Mexico",0,1,FALSE,FALSE,FALSE
2002,"G","Italy  -  Ecuador  2-0    (June 3, Sapporo Dome) ","Italy","Ecuador",2,0,FALSE,FALSE,FALSE
2002,"G","Italy  -  Croatia  1-2    (June 8, Ibaraki Kashima Stadium) ","Italy","Croatia",1,2,FALSE,FALSE,FALSE
2002,"G","Mexico  -  Ecuador  2-1    (June 9, Miyagi Stadium) ","Mexico","Ecuador",2,1,FALSE,FALSE,FALSE
2002,"G","Mexico  -  Italy  1-1    (June 13, Oita Stadium Big Eye) ","Mexico","Italy",1,1,FALSE,FALSE,FALSE
2002,"G","Ecuador  -  Croatia  1-0    (June 13, International Stadium Yokohama) ","Ecuador","Croatia",1,0,FALSE,FALSE,FALSE
2002,"H","Japan  -  Belgium  2-2    (June 4, Saitama Stadium 2002) ","Japan","Belgium",2,2,FALSE,FALSE,FALSE
2002,"H","Russia  -  Tunisia  2-0    (June 5, Kobe Wing Stadium) ","Russia","Tunisia",2,0,FALSE,FALSE,FALSE
2002,"H","Japan  -  Russia  1-0    (June 9, International Stadium Yokohama) ","Japan","Russia",1,0,FALSE,FALSE,FALSE
2002,"H","Tunisia  -  Belgium  1-1    (June 10, Oita Stadium Big Eye) ","Tunisia","Belgium",1,1,FALSE,FALSE,FALSE
2002,"H","Tunisia  -  Japan  0-2    (June 14, Osaka Nagai Stadium) ","Tunisia","Japan",0,2,FALSE,FALSE,FALSE
2002,"H","Belgium  -  Russia  3-2    (June 14, Shizuoka Stadium ECOPA) ","Belgium","Russia",3,2,FALSE,FALSE,FALSE
2002,"R16","Germany  -  Paraguay  1-0    (June 15, Jeju World Cup Stadium) ","Germany","Paraguay",1,0,FALSE,FALSE,FALSE
2002,"R16","Denmark  -  England  0-3    (June 15, Niigata Stadium Big Swan) ","Denmark","England",0,3,FALSE,FALSE,FALSE
2002,"R16","Sweden  -  Senegal  1-2 A.E.T    (June 16, Oita Stadium Big Eye) ","Sweden","Senegal",1,2,FALSE,FALSE,TRUE
2002,"R16","Spain*  -  Ireland  1-1 A.E.T    (June 16, Suwon World Cup Stadium) ","Spain","Ireland",1,1,TRUE,FALSE,TRUE
2002,"R16","Mexico  -  United States  0-2    (June 17, Jeonju World Cup Stadium) ","Mexico","United States",0,2,FALSE,FALSE,FALSE
2002,"R16","Brazil  -  Belgium  2-0    (June 17, Kobe Wing Stadium) ","Brazil","Belgium",2,0,FALSE,FALSE,FALSE
2002,"R16","Japan  -  Turkey  0-1    (June 18, Miyagi Stadium) ","Japan","Turkey",0,1,FALSE,FALSE,FALSE
2002,"R16","Korea Republic  -  Italy  2-1 A.E.T    (June 18, Daejeon World Cup Stadium) ","Korea Republic","Italy",2,1,FALSE,FALSE,TRUE
2002,"QF","England  -  Brazil  1-2    (June 21, Shizuoka Stadium ECOPA) ","England","Brazil",1,2,FALSE,FALSE,FALSE
2002,"QF","Germany  -  United States  1-0    (June 21, Munsu Football Stadium) ","Germany","United States",1,0,FALSE,FALSE,FALSE
2002,"QF","Spain  -  Korea Republic*  0-0 A.E.T    (June 22, Gwangju World Cup Stadium) ","Spain","Korea Republic",0,0,FALSE,TRUE,TRUE
2002,"QF","Senegal  -  Turkey  0-1 A.E.T    (June 22, Osaka Nagai Stadium) ","Senegal","Turkey",0,1,FALSE,FALSE,TRUE
2002,"SF","Germany  -  Korea Republic  1-0    (June 25, Seoul World Cup Stadium) ","Germany","Korea Republic",1,0,FALSE,FALSE,FALSE
2002,"SF","Brazil  -  Turkey  1-0    (June 26, Saitama Stadium 2002) ","Brazil","Turkey",1,0,FALSE,FALSE,FALSE
2002,"CG","Korea Republic  -  Turkey  2-3    (June 29, Daegu World Cup Stadium) ","Korea Republic","Turkey",2,3,FALSE,FALSE,FALSE
2002,"F","Germany  -  Brazil  0-2    (June 30, International Stadium Yokohama) ","Germany","Brazil",0,2,FALSE,FALSE,FALSE
